<(word pair),(co occurrence count)>
('citizens', 'upon') 256
('can', 'time') 256
('congress', 'power') 256
('can', 'us') 256
('american', 'citizens') 256
('congress', 'law') 255
('one', 'people') 255
('many', 'will') 254
('government', 'make') 254
('help', 'will') 254
('people', 'people') 253
('upon', 'us') 253
('great', 'made') 253
('federal', 'will') 252
('power', 'upon') 252
('fiscal', 'will') 252
('duty', 'government') 252
('shall', 'state') 252
('every', 'people') 251
('public', 'year') 251
('now', 'upon') 251
('upon', 'war') 251
('governments', 'states') 251
('law', 'upon') 250
('states', 'vessels') 250
('every', 'states') 250
('policy', 'will') 250
('law', 'public') 249
('may', 'present') 249
('just', 'will') 249
('states', 'years') 249
('ending', 'june') 249
('another', 'one') 248
('result', 'will') 248
('people', 'us') 248
('secretary', 'war') 247
('may', 'now') 247
('expenditures', 'will') 247
('much', 'will') 247
('great', 'war') 247
('british', 'states') 247
('authority', 'government') 247
('laws', 'united') 247
('federal', 'states') 246
('now', 'united') 246
('policy', 'states') 246
('commerce', 'states') 246
('government', 'rights') 245
('congress', 'congress') 245
('action', 'will') 245
('time', 'time') 244
('foreign', 'will') 244
('can', 'new') 244
('country', 'time') 244
('law', 'united') 243
('right', 'states') 243
('national', 'states') 242
('congress', 'executive') 242
('also', 'states') 242
('duty', 'upon') 242
('two', 'united') 242
('government', 'relations') 242
('american', 'american') 242
('interests', 'states') 242
('united', 'within') 242
('congress', 'war') 242
('people', 'world') 242
('general', 'will') 241
('laws', 'will') 241
('america', 'states') 240
('must', 'upon') 239
('congress', 'constitution') 239
('congress', 'members') 238
('countries', 'united') 238
('free', 'world') 238
('law', 'shall') 238
('government', 'two') 238
('government', 'laws') 237
('peace', 'united') 236
('house', 'senate') 236
('department', 'will') 236
('british', 'united') 236
('government', 'us') 235
('congress', 'message') 235
('security', 'social') 234
('government', 'right') 234
('united', 'vessels') 234
('can', 'work') 233
('interests', 'will') 233
('may', 'without') 233
('interest', 'states') 233
('nations', 'peace') 232
('congress', 'make') 232
('present', 'upon') 232
('now', 'time') 232
('total', 'year') 232
('current', 'year') 231
('also', 'government') 231
('nation', 'states') 231
