<(word pair),(probability)>
('hampshire', 'new') 1.6666666666666667
('asserts', 'government') 1.6666666666666667
('1801', 'february') 1.6666666666666667
('--and', 'defense') 1.6666666666666667
('francs', 'government') 1.625
('fifteen', 'two') 1.6170212765957446
('blown', 'man') 1.6
('languish', 'may') 1.6
('attainder', 'law') 1.6
('blown', 'honestly') 1.6
('cognizable', 'states') 1.6
('favorites', 'public') 1.6
('10-inch', '12-inch') 1.6
('aforesaid', 'united') 1.6
('decently', 'less') 1.6
('blown', 'every') 1.6
('evaded', 'tax') 1.5714285714285714
('accusation', 'shall') 1.5714285714285714
('1928', '1928') 1.565217391304348
('invalid', 'pensioners') 1.5555555555555556
('--the', '--the') 1.5416666666666667
('--the', 'government') 1.5208333333333333
('jersey', 'new') 1.5
('disgraced', 'nation') 1.5
('imitations', 'port') 1.5
('buyers', 'home') 1.5
('draw-backs', 'will') 1.5
('cloning', 'human') 1.5
('--that', '--that') 1.5
('cds', 'funds') 1.5
('1916', 'will') 1.5
('kin', 'tax') 1.5
('marine-hospital', 'service') 1.5
('$23000000', 'year') 1.5
('bracket', 'tax') 1.5
('$47', 'year') 1.5
('--our', 'defense') 1.5
('cloth', 'yarn') 1.5
('francs', 'shall') 1.5
('1915', 'will') 1.5
('intermeddling', 'rights') 1.5
('$70000000', 'year') 1.5
('1801', 'court') 1.5
('abolishment', 'states') 1.5
('1801', 'powers') 1.5
('iniquity', 'man') 1.5
('2025', 'acres') 1.5
('reminds', 'us') 1.5
('butter', 'cents') 1.5
('85th', 'congress') 1.5
('gloom', 'last') 1.5
('breathing', 'taxes') 1.5
('cent', 'per') 1.4872389791183294
('destroyers', 'ship') 1.4545454545454546
('bank-note', 'circulation') 1.4444444444444444
('gunboat', 'scout') 1.4285714285714286
('remembrance', 'will') 1.4285714285714286
('gunboat', 'year') 1.4285714285714286
('fifteen', 'one') 1.425531914893617
('submarines', 'year') 1.4242424242424243
('cruiser', 'submarines') 1.4210526315789473
('overcapitalization', 'upon') 1.4
('aforesaid', 'shall') 1.4
('80th', 'congress') 1.4
('cognizable', 'united') 1.4
('squalor', 'will') 1.4
('palestinians', 'state') 1.4
('fright', 'gold') 1.4
('drill', 'hundred') 1.4
('sloop', 'war') 1.4
('promoters', 'will') 1.4
('unto', 'will') 1.4
('servitude', 'shall') 1.375
('circuits', 'supreme') 1.375
('circuits', 'judges') 1.375
('cruiser', 'cruisers') 1.368421052631579
('destroyers', 'fleet') 1.3636363636363635
('bless', 'god') 1.3611111111111112
('gunboats', 'two') 1.3529411764705883
('defendant', 'sum') 1.3333333333333333
('defendant', 'six') 1.3333333333333333
('orphans', 'total') 1.3333333333333333
('1801', 'district') 1.3333333333333333
('muscle', 'shoals') 1.3333333333333333
('--and', 'spending') 1.3333333333333333
('tenement', 'times') 1.3333333333333333
('invalids', 'war') 1.3333333333333333
('orphans', 'pensioners') 1.3333333333333333
('users', 'water') 1.3333333333333333
('drilling', 'new') 1.3333333333333333
('drilling', 'energy') 1.3333333333333333
('chagres', 'steamers') 1.3
('connecticut', 'new') 1.2857142857142858
('capita', 'per') 1.2857142857142858
('noncommissioned', 'officers') 1.2857142857142858
('shuttle', 'space') 1.2857142857142858
('--the', 'defense') 1.25
('ecuadorian', 'government') 1.25
('francs', 'states') 1.25
('francs', 'united') 1.25
('fugitive-slave', 'law') 1.25
('francs', 'paid') 1.25
('bering', 'sea') 1.2307692307692308
('destroyers', 'fifteen') 1.2272727272727273
('destroyers', 'scout') 1.2272727272727273
('confederated', 'states') 1.2222222222222223
('12-inch', 'mortars') 1.2222222222222223
('earner', 'wage') 1.2142857142857142
('circuit', 'courts') 1.2027027027027026
('$13', 'millions') 1.2
('bestowal', 'upon') 1.2
('$96', 'daily') 1.2
('itata', 'port') 1.2
('adjudicate', 'establishment') 1.2
('attainder', 'bill') 1.2
('favorites', 'government') 1.2
('relatives', 'widows') 1.2
('intersection', 'river') 1.2
('suggestive', 'year') 1.2
('californias', 'mexico') 1.2
('$12', 'billion') 1.2
