<(word),(average)>
will	41.205128205128204
government	29.423076923076923
states	27.837606837606838
congress	21.5
united	20.786324786324787
can	18.73931623931624
people	17.23931623931624
upon	16.91025641025641
year	16.482905982905983
country	14.564102564102564
may	14.564102564102564
must	14.256410256410257
great	14.034188034188034
made	13.504273504273504
now	13.354700854700855
public	13.145299145299145
new	13.012820512820513
time	12.277777777777779
war	11.833333333333334
one	11.675213675213675
american	11.538461538461538
last	11.324786324786325
world	10.106837606837606
years	9.97008547008547
every	9.807692307692308
national	9.192307692307692
state	8.897435897435898
present	8.876068376068377
law	8.82905982905983
power	8.405982905982906
shall	8.196581196581196
peace	8.042735042735043
make	7.987179487179487
work	7.952991452991453
nations	7.8760683760683765
act	7.8760683760683765
nation	7.863247863247863
also	7.773504273504273
without	7.589743589743589
many	7.504273504273504
citizens	7.427350427350428
system	7.200854700854701
service	6.982905982905983
part	6.914529914529915
foreign	6.786324786324786
necessary	6.670940170940171
america	6.645299145299146
general	6.611111111111111
two	6.52991452991453
first	6.504273504273504
good	6.141025641025641
federal	6.141025641025641
subject	6.115384615384615
well	5.905982905982906
department	5.867521367521367
policy	5.803418803418803
much	5.777777777777778
interest	5.743589743589744
laws	5.6923076923076925
legislation	5.52991452991453
men	5.431623931623932
treaty	5.388888888888889
free	5.256410256410256
just	5.239316239316239
important	5.235042735042735
increase	5.230769230769231
within	5.183760683760684
business	5.05982905982906
duty	5.051282051282051
right	4.97008547008547
trade	4.897435897435898
interests	4.884615384615385
treasury	4.863247863247863
action	4.700854700854701
large	4.67948717948718
means	4.666666666666667
commerce	4.662393162393163
military	4.645299145299146
attention	4.619658119658119
rights	4.589743589743589
security	4.576923076923077
need	4.547008547008547
still	4.521367521367521
future	4.4743589743589745
report	4.47008547008547
union	4.465811965811966
far	4.44017094017094
countries	4.418803418803419
secretary	4.371794871794871
purpose	4.311965811965812
progress	4.2905982905982905
way	4.282051282051282
since	4.260683760683761
consideration	4.235042735042735
long	4.222222222222222
give	4.170940170940171
force	4.1581196581196584
relations	4.1581196581196584
amount	4.153846153846154
economic	4.115384615384615
past	4.094017094017094
yet	4.064102564102564
administration	4.012820512820513
already	4.0
next	4.0
among	4.0
president	3.982905982905983
constitution	3.9743589743589745
powers	3.91025641025641
whole	3.888888888888889
even	3.8632478632478633
use	3.858974358974359
americans	3.858974358974359
less	3.8376068376068377
economy	3.824786324786325
fiscal	3.824786324786325
take	3.8119658119658117
thus	3.7948717948717947
condition	3.7606837606837606
number	3.7564102564102564
however	3.730769230769231
officers	3.713675213675214
continue	3.7051282051282053
governments	3.6880341880341883
help	3.6666666666666665
mexico	3.6495726495726495
expenditures	3.6324786324786325
best	3.611111111111111
hope	3.594017094017094
might	3.551282051282051
life	3.551282051282051
authority	3.5213675213675213
commission	3.517094017094017
given	3.5128205128205128
international	3.5085470085470085
tax	3.4871794871794872
support	3.4786324786324787
labor	3.452991452991453
possible	3.448717948717949
session	3.448717948717949
duties	3.4444444444444446
justice	3.4401709401709404
better	3.4316239316239314
day	3.4316239316239314
question	3.427350427350427
executive	3.41025641025641
period	3.376068376068376
full	3.3675213675213675
increased	3.341880341880342
order	3.341880341880342
proper	3.3376068376068377
navy	3.3333333333333335
effect	3.324786324786325
toward	3.3205128205128207
taken	3.3205128205128207
revenue	3.3162393162393164
protection	3.299145299145299
program	3.2948717948717947
territory	3.282051282051282
meet	3.2606837606837606
recommend	3.235042735042735
together	3.230769230769231
measures	3.2222222222222223
army	3.2222222222222223
result	3.217948717948718
course	3.2094017094017095
land	3.200854700854701
money	3.1965811965811968
place	3.1965811965811968
freedom	3.1880341880341883
several	3.175213675213675
debt	3.1709401709401708
ever	3.1666666666666665
certain	3.1452991452991452
high	3.1367521367521367
done	3.1324786324786325
control	3.1153846153846154
home	3.094017094017094
know	3.094017094017094
defense	3.08974358974359
provide	3.0811965811965814
believe	3.072649572649573
health	3.0555555555555554
like	3.051282051282051
come	3.017094017094017
never	3.0085470085470085
view	3.0042735042735043
end	2.9914529914529915
therefore	2.982905982905983
political	2.952991452991453
care	2.948717948717949
become	2.9358974358974357
lands	2.923076923076923
making	2.9188034188034186
conditions	2.9145299145299144
private	2.9017094017094016
commercial	2.888888888888889
prosperity	2.8846153846153846
secure	2.8846153846153846
